City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
482,Sillamae,EE,59.3997,27.7547,35.28,76,100,6.11,Snow
483,Salaga,GH,8.5508,-0.5188,82.9,60,100,6.55,Clouds
484,Vyazemskiy,RU,47.5378,134.7525,46.9,41,72,10.11,Clouds
485,Goundam,ML,16.4145,-3.6708,73.45,20,32,7.74,Clouds
486,Inhambane,MZ,-23.865,35.3833,71.82,92,76,3.44,Rain
487,Maniitsoq,GL,65.4167,-52.9,22.6,87,100,2.55,Clouds
488,Vagur,FO,61.4732,-6.8119,46.18,89,100,26.46,Clouds
489,Ewo,CG,-0.8725,14.8206,75.61,84,99,1.63,Clouds
490,Nong Khai,TH,17.9167,103.0833,78.3,65,88,6.67,Clouds
491,Padong,PH,18.0522,120.7567,87.28,34,100,3.78,Clouds
492,Kaeo,NZ,-35.1,173.7833,69.33,98,100,13.67,Clouds
493,Prabumulih,ID,-3.45,104.25,84.56,76,81,2.77,Clouds
494,Bagnan,IN,22.9242,88.14,90.97,47,4,12.35,Clear
495,Los Llanos De Aridane,ES,28.6585,-17.9182,73.15,36,100,13.8,Clouds
496,Harwich,GB,51.9419,1.2844,51.01,86,32,5.73,Clouds
497,Mocorito,MX,25.4833,-107.9167,76.26,17,72,3.31,Clouds
498,Bull Savanna,JM,17.8868,-77.5902,73.6,81,0,6.08,Clear
